from,to,t_from,t_to,l,k,flow
m2_q_l1,m2_q_l1,9,10,l1,k5,120.35283
m2_q_l1,m2_q_l1,10,11,l1,k5,120.35283
m2_q_l1,m2_q_l1,8,9,l1,k5,116.17063
m1_q_l1,m1_q_l1,11,12,l1,k5,109.16947
m10_q_l1,m10_q_l1,11,12,l1,k2,100.69966
m2_q_l1,m2_q_l1,7,8,l1,k5,96.119248
m2_q_l1,m2_q_l1,6,7,l1,k4,93.339476
m10_q_l1,m10_q_l1,10,11,l1,k2,83.170069
m2_q_l1,m2_q_l1,6,7,l1,k5,82.252942
m3_q_l1,m3_q_l1,11,12,l1,k5,81.452983
m3_q_l1,m3_q_l1,7,8,l1,k3,80.0
m2_q_l1,m2_q_l1,7,8,l1,k4,80.0
m3_q_l1,m3_q_l1,9,10,l1,k4,78.547176
m2_q_l1,m2_q_l1,5,6,l1,k4,77.736417
m10_q_l1,m10_q_l1,8,9,l1,k2,74.57462
m10_q_l1,m10_q_l1,9,10,l1,k2,74.57462
m1_q_l1,m1_q_l1,10,11,l1,k5,74.279414
m3_q_l1,m3_q_l1,10,11,l1,k5,62.990758
m4_q_l2,m4_q_l2,10,11,l1,k4,62.837482
m3_q_l2,m3_q_l2,11,12,l1,k3,62.586136
m3_q_l1,m3_q_l1,11,12,l1,k2,62.557215
m5_q_l2,m5_q_l2,5,6,l1,k5,62.14831
m2_q_l1,m2_q_l1,11,12,l1,k4,59.60998
m3_q_l1,m3_q_l1,10,11,l1,k1,59.11442
m10_q_l1,m10_q_l1,7,8,l1,k2,58.502961
m2_q_l1,m2_q_l1,11,12,l1,k5,56.848161
m1_q_l1,m1_q_l1,9,10,l1,k5,55.892215
m5_q_l2,m5_q_l2,4,5,l1,k5,50.453314
m4_q_l2,m4_q_l2,8,9,l1,k4,50.219067
m2_q_l1,m2_q_l1,3,4,l1,k3,46.813394
m3_q_l2,m3_q_l2,5,6,l1,k3,45.607701
m3_q_l1,m3_q_l1,7,8,l1,k4,45.150455
m3_q_l1,m3_q_l1,8,9,l1,k4,45.150455
m10_q_l1,m10_q_l1,11,12,l1,k5,43.42841
m10_q_l1,m10_q_l1,8,9,l1,k5,43.246906
m3_q_l1,m3_q_l1,8,9,l1,k1,42.480782
m3_q_l1,m3_q_l1,9,10,l1,k5,42.147396
m3_q_l2,m3_q_l2,4,5,l1,k3,40.744823
m10_q_l1,m10_q_l1,6,7,l1,k2,39.965949
m3_q_l1,m3_q_l1,4,5,l1,k2,39.858295
m1_q_l1,m1_q_l1,6,7,l1,k5,39.70501
m3_q_l1,m3_q_l1,9,10,l1,k1,39.37885
m3_q_l1,m3_q_l1,6,7,l1,k5,38.804684
m3_q_l1,m3_q_l1,5,6,l1,k2,38.384309
m10_q_l1,m10_q_l1,6,7,l1,k3,37.169101
m2_q_l1,m2_q_l1,9,10,l1,k1,36.990484
m1_q_l1,m1_q_l1,3,4,l1,k5,36.455475
m2_q_l1,m2_q_l1,8,9,l1,k3,36.449972
m2_q_l1,m2_q_l1,9,10,l1,k4,34.587117
m2_q_l1,m2_q_l1,10,11,l1,k4,34.587117
m3_q_l2,m3_q_l2,6,7,l1,k3,33.089574
m1_q_l1,m1_q_l1,4,5,l1,k3,32.189773
m2_q_l1,m2_q_l1,4,5,l1,k1,31.447689
m5_q_l2,m5_q_l2,10,11,l1,k5,31.155114
m4_q_l2,m4_q_l2,11,12,l1,k4,30.526191
m1_q_l1,m1_q_l1,11,12,l1,k3,29.543024
m1_q_l1,m1_q_l1,10,11,l1,k4,29.526309
m5_q_l2,m5_q_l2,11,12,l1,k5,29.059118
m1_q_l2,m1_q_l2,3,4,l1,k1,28.600563
m10_q_l1,m10_q_l1,10,11,l1,k4,28.35452
m2_q_l1,m2_q_l1,4,5,l1,k4,27.589926
m2_q_l1,m2_q_l1,5,6,l1,k5,27.154847
m1_q_l1,m1_q_l1,2,3,l1,k3,27.153113
m3_q_l1,m3_q_l1,8,9,l1,k5,26.515225
m2_q_l1,m2_q_l1,8,9,l1,k2,26.278872
m10_q_l1,m10_q_l1,5,6,l1,k4,25.710947
m10_q_l1,m10_q_l1,7,8,l1,k5,25.123225
m1_q_l2,m1_q_l2,11,12,l1,k1,23.655751
m2_q_l1,m2_q_l1,10,11,l1,k3,23.539884
m2_q_l1,m2_q_l1,11,12,l1,k3,23.539884
m4_q_l2,m4_q_l2,9,10,l1,k4,23.042648
m1_q_l2,m1_q_l2,9,10,l1,k1,22.837857
m1_q_l1,m1_q_l1,7,8,l1,k2,22.6275
m3_q_l1,m3_q_l1,1,2,l1,k4,22.515368
m3_q_l1,m3_q_l1,2,3,l1,k2,22.316054
m10_q_l1,m10_q_l1,5,6,l1,k2,22.297504
m5_q_l2,m5_q_l2,8,9,l1,k5,22.069011
m10_q_l1,m10_q_l1,4,5,l1,k4,21.296515
m1_q_l1,m1_q_l1,8,9,l1,k5,20.629359
m3_q_l1,m3_q_l1,6,7,l1,k4,20.247418
m1_q_l1,m1_q_l1,1,2,l1,k5,20.117247
m2_q_l1,m2_q_l1,11,12,l1,k1,20.001975
m1_q_l1,m1_q_l1,10,11,l1,k1,19.633623
m3_q_l1,m3_q_l1,3,4,l1,k4,19.379737
m10_q_l1,m10_q_l1,9,10,l1,k4,18.735955
m2_q_l1,m2_q_l1,2,3,l1,k3,18.616163
m10_q_l1,m10_q_l1,10,11,l1,k5,18.575915
m10_q_l1,m10_q_l1,2,3,l1,k3,18.50852
m10_q_l1,m10_q_l1,9,10,l1,k1,18.377514
m2_q_l1,m2_q_l1,7,8,l1,k3,18.121089
m1_q_l1,m1_q_l1,5,6,l1,k5,17.964764
m3_q_l1,m3_q_l1,10,11,l1,k2,17.743709
m1_q_l1,m1_q_l1,10,11,l1,k3,17.66159
m10_q_l1,m10_q_l1,3,4,l1,k1,17.379915
m1_q_l1,m1_q_l1,9,10,l1,k4,17.25907
m3_q_l1,m3_q_l1,3,4,l1,k1,16.631112
m3_q_l1,m3_q_l1,8,9,l1,k2,16.516955
m3_q_l1,m3_q_l1,11,12,l1,k4,15.989803
m2_q_l1,m2_q_l1,1,2,l1,k4,15.951248
m10_q_l1,m10_q_l1,6,7,l1,k5,15.946855
m10_q_l1,m10_q_l1,11,12,l1,k1,15.871934
m10_q_l1,m10_q_l1,10,11,l1,k3,15.787313
m1_q_l1,m1_q_l1,11,12,l1,k2,15.439869
m10_q_l1,m10_q_l1,2,3,l1,k2,15.250362
m2_q_l1,m2_q_l1,8,9,l1,k1,14.827496
m3_q_l1,m3_q_l1,7,8,l1,k1,13.616468
m2_q_l1,m2_q_l1,2,3,l1,k5,12.980944
m1_q_l1,m1_q_l1,3,4,l1,k3,11.595262
m1_q_l2,m1_q_l2,1,2,l1,k1,11.551991
m10_q_l1,m10_q_l1,4,5,l1,k2,10.513985
m2_q_l2,m2_q_l2,5,6,l1,k2,10.274896
m2_q_l1,m2_q_l1,1,2,l1,k5,10.11121
